Task,Task time,Index diff time,Start Time,End Time
s00_HA_A0_4,50.547,50.428000000000004,1538594072546,1538594123093
s00_HA_A0_5,115.338,115.06400000000001,1538594153133,1538594268471
s00_HA_A0_6,34.827,34.744,1538594285072,1538594319899
s00_HA_A0_7,19.232,19.188,1538594325696,1538594344928
s00_HA_A0_1,20.573,20.528,1538594364902,1538594385475
s00_HA_A0_2,85.511,85.312,1538594390955,1538594476466
s00_HA_A0_3,20.178,20.132,1538594483002,1538594503180
s00_JOY_A0_7,7.061,7.04,1537817425870,1537817432931
s00_JOY_A0_1,5.564,5.5520000000000005,1537817440041,1537817445605
s00_JOY_A0_2,13.997,13.96,1537817449169,1537817463166
s00_JOY_A0_3,10.127,10.104000000000001,1537817466374,1537817476501
s00_JOY_A0_4,23.5,23.44,1537817480035,1537817503535
s00_JOY_A0_5,33.382,33.296,1537817528372,1537817561754
s00_JOY_A0_6,15.036,15.0,1537817576711,1537817591747
s00_SNP_A0_3,55.159,55.012,1538158797409,1538158852568
s00_SNP_A0_4,135.392,135.032,1538158925395,1538159060787
s00_SNP_A0_5,194.02,193.504,1538159098680,1538159292700
s00_SNP_A0_6,31.732,31.648,1538159336925,1538159368657
s00_SNP_A0_7,20.369,20.312,1538159383921,1538159404290
s00_SNP_A0_1,39.062,38.96,1538159433794,1538159472856
s00_SNP_A0_2,76.199,75.996,1538159490112,1538159566311
s01_HA_A0_7,16.871,16.84,1537462435620,1537462452491
s01_HA_A0_1,7.793,7.78,1537462464322,1537462472115
s01_HA_A0_2,14.467,14.44,1537462476397,1537462490864
s01_HA_A0_3,13.452,13.424,1537462496526,1537462509978
s01_HA_A0_4,26.792,26.744,1537462531851,1537462558643
s01_HA_A0_5,55.063,54.956,1537462580360,1537462635423
s01_HA_A0_6,17.653,17.62,1537462656667,1537462674320
s01_SNP_A0_5,100.226,100.02,1537988503226,1537988603452
s01_SNP_A0_6,75.188,75.028,1537988637796,1537988712984
s01_SNP_A0_7,28.872,28.812,1537988719002,1537988747874
s01_SNP_A0_1,34.465,34.392,1537988763984,1537988798449
s01_SNP_A0_2,74.154,74.0,1537988821103,1537988895257
s01_SNP_A0_3,11.141,11.116,1537988897088,1537988908229
s01_SNP_A0_4,155.751,155.428,1537988945577,1537989101328
s02_HA_A0_1,14.799,14.764000000000001,1538000037197,1538000051996
s02_HA_A0_2,22.118,22.064,1538000052869,1538000074987
s02_HA_A0_3,29.177,29.108,1538000079785,1538000108962
s02_HA_A0_4,36.324,36.24,1538000124129,1538000160453
s02_HA_A0_5,61.32,61.18,1538000187990,1538000249310
s02_HA_A0_6,25.529,25.472,1538000266579,1538000292108
s02_HA_A0_7,16.864,16.824,1538000294273,1538000311137
s02_SNP_A0_6,13.52,13.488,1537828545782,1537828559302
s02_SNP_A0_7,19.199,19.148,1537828576553,1537828595752
s02_SNP_A0_1,42.023,41.916000000000004,1537828616806,1537828658829
s02_SNP_A0_2,71.024,70.848,1537828685045,1537828756069
s02_SNP_A0_3,49.875,49.752,1537828759797,1537828809672
s02_SNP_A0_4,164.37,163.95600000000002,1537828911582,1537829075952
s02_SNP_A0_5,162.063,161.65200000000002,1537829122280,1537829284343
s03_JOY_A0_6,16.448,16.412,1538680296582,1538680313030
s03_JOY_A0_7,8.94,8.92,1538680316960,1538680325900
s03_JOY_A0_1,6.796,6.784,1538680341368,1538680348164
s03_JOY_A0_2,18.569,18.528,1538680352127,1538680370696
s03_JOY_A0_3,11.156,11.132,1538680372103,1538680383259
s03_JOY_A0_4,26.165,26.108,1538680400911,1538680427076
s03_JOY_A0_5,55.211,55.088,1538680458460,1538680513671
s03_SNP_A0_2,42.803,42.708,1538766691550,1538766734353
s03_SNP_A0_3,71.12,70.96000000000001,1538766777523,1538766848643
s03_SNP_A0_4,78.375,78.196,1538766897391,1538766975766
s03_SNP_A0_5,241.147,240.604,1538767244740,1538767485887
s03_SNP_A0_6,35.49,35.408,1538767585854,1538767621344
s03_SNP_A0_7,111.006,110.756,1538767627981,1538767738987
s03_SNP_A0_1,30.847,30.776,1538767753462,1538767784309
s04_HA_A0_1,15.886,15.848,1539113582821,1539113598707
s04_HA_A0_2,29.664,29.596,1539113603831,1539113633495
