id,interface,mental_rs,mental_ws,physical_rs,physical_ws,temporal_rs,temporal_ws,performance_rs,performance_ws,effort_rs,effort_ws,frustration_rs,frustration_ws,Raw Score,Weighted Score
PILOT,joystick,,4,,0,,1,,5,9,2,60,3,11.5,13.2
PILOT,joystick,,4,,0,,1,,5,16,3,42,2,9.666666667,8.8
PILOT,headarray,,3,4,0,,1,,5,37,3,35,3,12.66666667,14.4
PILOT,joystick,,3,,0,,1,10,5,54,3,59,3,20.5,25.93333333
PILOT,headarray,,2,,0,,1,8,5,39,3,30,4,12.83333333,18.46666667
PILOT,sip_and_puff,,2,,1,,0,50,3,3,5,3,4,9.333333333,11.8
PILOT,headarray,,3,,1,,0,40,2,3,5,3,4,7.666666667,7.133333333
U00-PILOT,joystick,3,3,44,2,43,1,5,4,36,5,11,0,23.66666667,22.66666667
U00-PILOT,joystick,22,1,52,2,51,1,28,4,29,2,26,5,34.66666667,31.8
U00-PILOT,joystick,26,0,36,3,20,1,60,2,50,4,56,5,41.33333333,48.53333333
U01-PILOT,headarray,,0,,0,,0,,1,,0,,0,0,0
U01-PILOT,headarray,44,3,27,0,22,5,24,4,48,1,20,2,30.83333333,28.4
U01-PILOT,headarray,46,2,50,0,23,4,44,3,42,1,50,5,42.5,40.53333333
U01-PILOT,headarray,36,2,27,0,21,5,17,4,14,2,13,2,21.33333333,19.93333333
U02,sip_and_puff,8,4,52,0,2,1,36,5,36,3,25,2,26.5,24.8
U03,joystick,68,5,2,0,,1,22,2,37,4,41,3,28.33333333,43.66666667
U03,joystick,45,4,2,0,,1,44,2,47,3,52,5,31.66666667,44.6
U03,joystick,20,3,2,0,,1,40,5,32,4,12,2,17.66666667,27.46666667
U05,sip_and_puff,49,4,4,2,51,0,18,5,36,3,15,1,28.83333333,27.8
U03,sip_and_puff,64,5,32,1,40,2,33,0,58,3,46,4,45.5,52.66666667
U09,joystick,41,2,1,0,30,3,36,5,51,1,53,4,35.33333333,41
U09,joystick,22,2,,0,,3,,4,13,1,,5,5.833333333,3.8
U09,joystick,39,2,,0,37,3,54,5,48,1,43,4,36.83333333,45.26666667
U01-PILOT,sip_and_puff,28,3,27,0,23,5,24,4,10,1,9,2,20.16666667,21.53333333
U09,sip_and_puff,52,2,45,1,13,0,51,5,50,3,50,4,43.5,50.26666667
